"","ensembl_gene_id","entrez.human","entrezgene","gene","cardiomyopathy_score","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj","MSeqDR"
"5621","ENSMUSG00000029427",55596,70650,"Zcchc8",NA,5.0611265922066e-06,5.74367097616326e-06,4.37858220824994e-06,0.762331656256328,-0.391509308797553,0.340072488023571,0.880502546005947,NA
"5622","ENSMUSG00000029428",2054,13852,"Stx2",NA,7.39184358830433e-06,8.8710852687856e-06,5.91260190782306e-06,0.666502657642977,-0.585317466893896,0.102504711634511,0.705436750778547,NA
"5623","ENSMUSG00000029430",5901,19384,"Ran",NA,1.22772398997373e-05,1.31573786654756e-05,1.1397101133999e-05,0.866213660317047,-0.207205170789127,0.596435814562888,0.955157464193606,NA
"5624","ENSMUSG00000029432",2631,14467,"Gbas",NA,0.000235221535562443,0.00026544276999103,0.000205000301133856,0.772295667125472,-0.372774817558238,0.316055192651854,0.875511505085568,"<a href=""https://mseqdr.org/MITO_backend/genes/GBAS"">GBAS</a>"
"5625","ENSMUSG00000029433",56616,66593,"Diablo",NA,1.49826436850009e-05,1.55266775444634e-05,1.44386098255384e-05,0.929922694935276,-0.104817305837732,0.845979228759267,0.990834049494171,"<a href=""https://mseqdr.org/MITO_backend/genes/DIABLO"">DIABLO</a>"
"5626","ENSMUSG00000029434",65082,77573,"Vps33a",NA,1.3418512323156e-05,1.41311162201393e-05,1.27059084261727e-05,0.899144004495879,-0.15337590246858,0.661140488249912,0.964160093104377,NA
"5627","ENSMUSG00000029436",4326,23948,"Mmp17",NA,1.0525217156936e-06,1.23443859019497e-06,8.70604841192224e-07,0.705263792064957,-0.503765120607311,0.356576247369757,0.886449897016066,NA
"5628","ENSMUSG00000029438",605,77045,"Bcl7a",NA,6.05430749146525e-06,5.79859593261762e-06,6.31001905031288e-06,1.08819775056552,0.121940751290845,0.651853007663667,0.963500694165483,NA
"5629","ENSMUSG00000029439",6433,231769,"Sfswap",NA,5.29863619625572e-06,6.2309691960465e-06,4.36630319646493e-06,0.700742221488643,-0.513044270017098,0.194629539886449,0.813472949239707,NA
"5630","ENSMUSG00000029440",5715,67151,"Psmd9",NA,6.61508461897638e-06,5.61070933436783e-06,7.61945990358494e-06,1.3580207865898,0.441505562410708,0.26639262098654,0.854178939655027,NA
"5631","ENSMUSG00000029442",NA,NA,"Wdr66",NA,5.21461968992324e-07,3.99261667902442e-07,6.43662270082205e-07,1.61213139609355,0.688969334912509,0.118916667894889,0.735613242244393,NA
"5632","ENSMUSG00000029446",5723,100678,"Psph",NA,1.80044484534291e-06,2.04483817548299e-06,1.55605151520283e-06,0.760965602979949,-0.394096852107015,0.361557217846722,0.887999086382603,NA
"5633","ENSMUSG00000029447",NA,NA,"Cct6a",NA,1.79679157288786e-05,2.22229856743258e-05,1.37128457834313e-05,0.617056861053271,-0.69652465676092,0.0480524516895294,0.51766236288083,NA
"5634","ENSMUSG00000029449",54509,23912,"Rhof",NA,4.55761949919742e-07,4.47471536577032e-07,4.64052363262453e-07,1.03705448353711,0.0524916907412915,0.87986879773812,0.996712541502136,NA
"5635","ENSMUSG00000029452",89894,77462,"Tmem116",NA,5.12644292555295e-06,1.25448854039952e-06,8.99839731070638e-06,7.17296094856368,2.84256877639082,5.81202073934533e-17,3.27216767625142e-14,NA
"5636","ENSMUSG00000029454",8550,17165,"Mapkapk5",NA,1.58206649010696e-05,1.76170716536567e-05,1.40242581484824e-05,0.796060686145387,-0.329049678862467,0.381493023502013,0.895782670526079,NA
"5637","ENSMUSG00000029455",217,11669,"Aldh2",0.00028350457009367,7.30281341914209e-05,9.24607876148902e-05,5.35954807679515e-05,0.579656329461337,-0.786730295910773,0.0275110722305118,0.404324372801437,"<a href=""https://mseqdr.org/MITO_backend/genes/ALDH2"">ALDH2</a>"
"5638","ENSMUSG00000029456",80724,71985,"Acad10",NA,1.97912783468683e-06,1.92659570685349e-06,2.03165996252017e-06,1.05453362908105,0.0766051034150142,0.879833530709076,0.996712541502136,"<a href=""https://mseqdr.org/MITO_backend/genes/ACAD10"">ACAD10</a>"
"5639","ENSMUSG00000029458",8315,72399,"Brap",NA,1.37369806698324e-05,1.46980410921326e-05,1.27759202475321e-05,0.869226053148722,-0.202196678093472,0.528726171313675,0.94191660172297,NA
"5640","ENSMUSG00000029461",23201,319604,"Fam168a",NA,1.50815712417075e-05,1.39508034715666e-05,1.62123390118485e-05,1.16210790617839,0.216744034732701,0.436050578363208,0.917385585693829,NA
"5641","ENSMUSG00000029462",51699,56433,"Vps29",NA,1.73796882822898e-05,1.4396147134431e-05,2.03632294301486e-05,1.41449161640244,0.500283626002126,0.181498523319711,0.804858762013368,NA
"5642","ENSMUSG00000029463",29902,68948,"Fam216a",NA,6.58268725039573e-07,7.77914476639711e-07,5.38622973439434e-07,0.692393559464373,-0.530335789842004,0.308913010300099,0.871993598320635,NA
"5643","ENSMUSG00000029464",51184,68080,"Gpn3",NA,5.17467851605583e-06,5.35465654281834e-06,4.99470048929332e-06,0.932777004342548,-0.10039587252595,0.843342947334902,0.990495358752686,NA
"5644","ENSMUSG00000029465",10094,56378,"Arpc3",NA,1.90289951886742e-05,2.0022973108485e-05,1.80350172688635e-05,0.900716250835941,-0.150855403926438,0.691436516603685,0.970225989244632,NA
"5645","ENSMUSG00000029466",51434,56317,"Anapc7",NA,1.26487786229411e-05,1.29788514388786e-05,1.23187058070036e-05,0.94913682193036,-0.0753120222961107,0.861934582492383,0.992838494713989,NA
"5646","ENSMUSG00000029467",488,11938,"Atp2a2",NA,0.00170880366120338,0.00176097823994907,0.00165662908245768,0.940743641730401,-0.0881264614047484,0.943099453016267,1,NA
"5647","ENSMUSG00000029468",5027,18439,"P2rx7",NA,1.90753309638934e-06,1.92816506203904e-06,1.88690113073964e-06,0.978599378179914,-0.0312097288311434,0.986296516193577,1,NA
"5648","ENSMUSG00000029469",28981,12589,"Ift81",NA,1.08704802176075e-05,1.35349084996073e-05,8.20605193560756e-06,0.606287950586857,-0.72192494439533,0.0341249909916171,0.447600016250261,NA
"5649","ENSMUSG00000029470",5025,18438,"P2rx4",NA,4.89840017969633e-06,4.95258468785022e-06,4.84421567154244e-06,0.97811869495667,-0.0319185476700786,0.96871034672007,1,NA
"5650","ENSMUSG00000029471",10645,207565,"Camkk2",NA,4.9769935986644e-06,5.62171840116776e-06,4.33226879616103e-06,0.770630701683869,-0.375888431229972,0.370363563581969,0.89401507469508,NA
"5651","ENSMUSG00000029472",51433,59008,"Anapc5",NA,4.14131211778958e-05,4.68012877943192e-05,3.60249545614725e-05,0.769742805364541,-0.377551617142643,0.274606919234372,0.858427255269932,NA
"5652","ENSMUSG00000029474",80196,80751,"Rnf34",NA,1.33357572782321e-05,1.34519851431635e-05,1.32195294133008e-05,0.982719596595687,-0.025148269684074,0.967092221090574,1,NA
"5653","ENSMUSG00000029475",84678,30841,"Kdm2b",NA,4.53816098594691e-06,5.08769393161609e-06,3.98862804027774e-06,0.783975627050105,-0.351119291669998,0.345810390600224,0.883825569087814,NA
"5654","ENSMUSG00000029478",9612,20602,"Ncor2",NA,4.63549117021828e-06,5.6728589800819e-06,3.59812336035467e-06,0.634269840478694,-0.656831351213003,0.185926032137807,0.807632118728098,NA
"5655","ENSMUSG00000029480",57647,208144,"Dhx37",NA,8.69793784799874e-06,5.94715164423381e-06,1.14487240517637e-05,1.92507686648011,0.944916052392305,0.0021904084549113,0.0864237168813792,NA
"5656","ENSMUSG00000029482",65985,78894,"Aacs",NA,1.58867487722885e-06,1.7608540937594e-06,1.41649566069829e-06,0.804436702460732,-0.313949188716333,0.434944617730564,0.917385585693829,NA
"5657","ENSMUSG00000029484",306,11745,"Anxa3",NA,7.56644744708727e-06,9.74052228538104e-06,5.39237260879349e-06,0.553601999031056,-0.853078942398664,0.0244149195233882,0.381361089257822,NA
"5658","ENSMUSG00000029486",65008,94061,"Mrpl1",NA,9.53407021372109e-06,9.42468321311251e-06,9.64345721432966e-06,1.02321287583574,0.0331063239329396,0.923120210611108,1,"<a href=""https://mseqdr.org/MITO_backend/genes/MRPL1"">MRPL1</a>"
"5659","ENSMUSG00000029490",84179,243197,"Mfsd7a",NA,4.06033484457396e-07,5.72812998027179e-07,2.39253970887613e-07,0.417682510193772,-1.25952136073544,0.0432778892770935,0.495700121046421,NA
"5660","ENSMUSG00000029499",5827,19301,"Pxmp2",NA,1.26781980240792e-05,1.39754309315242e-05,1.13809651166342e-05,0.81435521898379,-0.296269864424501,0.397140960543377,0.903476551169198,"<a href=""https://mseqdr.org/MITO_backend/genes/PXMP2"">PXMP2</a>"
"5661","ENSMUSG00000029500",192111,72542,"Pgam5",NA,3.89962456206433e-06,4.05539372371965e-06,3.74385540040902e-06,0.923179265803843,-0.115317272829756,0.877263969776699,0.996306151725605,NA
"5662","ENSMUSG00000029501",23141,71782,"Ankle2",NA,1.8197408209326e-05,1.94768457672562e-05,1.69179706513959e-05,0.868619634491218,-0.203203530694499,0.535599620046607,0.94191660172297,NA
"5663","ENSMUSG00000029502",2802,269682,"Golga3",NA,3.56828577659728e-05,3.81998935870539e-05,3.31658219448917e-05,0.86821765273534,-0.203871338900085,0.546621062586511,0.943662457786377,NA
"5664","ENSMUSG00000029504",317781,69663,"Ddx51",NA,3.41035703653546e-06,3.54898837766389e-06,3.27172569540703e-06,0.921875573331868,-0.117356053398527,0.801889724997562,0.986275827643482,NA
"5665","ENSMUSG00000029505",57634,75560,"Ep400",NA,3.40107905258035e-05,3.55635546076849e-05,3.24580264439222e-05,0.912676665816424,-0.131824248086544,0.830299722088212,0.988365238019618,NA
"5666","ENSMUSG00000029507",80324,56361,"Pus1",NA,3.83900527948517e-06,3.53652678759213e-06,4.14148377137822e-06,1.17105963565965,0.227814546274417,0.489851172797151,0.935045457579422,"<a href=""https://mseqdr.org/MITO_backend/genes/PUS1"">PUS1</a>"
"5667","ENSMUSG00000029512",8408,22241,"Ulk1",NA,1.75381059135315e-05,1.81737648909841e-05,1.6902446936079e-05,0.930046527919165,-0.104625202409542,0.821333618143968,0.987231523599701,NA
"5668","ENSMUSG00000029513",5564,19079,"Prkab1",NA,9.09015793433746e-06,6.58271640471604e-06,1.15975994639589e-05,1.76182577995462,0.817071268854002,0.017973571555836,0.321241929712244,NA
"5669","ENSMUSG00000029516",11113,12704,"Cit",NA,4.22505942319981e-07,5.43713869086442e-07,3.0129801555352e-07,0.554148114815917,-0.851656458052148,0.138783316989173,0.764941428194827,NA
"5670","ENSMUSG00000029518",11021,77407,"Rab35",NA,4.17135595455504e-06,4.88217038933768e-06,3.4605415197724e-06,0.70881211506464,-0.49652483214242,0.33283348892099,0.87831559596637,"<a href=""https://mseqdr.org/MITO_backend/genes/RAB35"">RAB35</a>"
"5671","ENSMUSG00000029521",11200,50883,"Chek2",NA,1.32041031199006e-06,1.15029199128354e-06,1.49052863269658e-06,1.29578284817353,0.373823966592672,0.351263336661126,0.884023748020807,NA
"5672","ENSMUSG00000029524",23409,75387,"Sirt4",NA,2.5782530942752e-06,2.89099304114668e-06,2.26551314740372e-06,0.783645313274474,-0.351727272899177,0.461779010031565,0.927486436449238,NA
"5673","ENSMUSG00000029528",5829,19303,"Pxn",NA,1.65286513442999e-05,1.86824876484379e-05,1.43748150401619e-05,0.76942724709168,-0.378143175380175,0.320367764267211,0.876694625430605,NA
